"course_code","title","description","skills"
"CSC 309","Computer Programming","Procedural programming for scientific applications. Good programming practices and basic numerical and nonnumerical algorithms for scientists and engineers.","[(Python, 40), (Procedural Programming, 30), (Algorithms, 20), (Scientific Computing, 10)]"
"CSC 310","Computer Programming Lab","Exercises in Python programming and use of basic software development tools.","[(Python, 60), (Software Development Tools, 40)]"
"CSC 311","Data Structures for Data Science Application Development","Focuses on learning about and utilizing data structures and algorithms effectively for developing data science applications. Utilizes Python and Jupyter Notebook. [Formerly CSC 219]","[(Python, 35), (Data Structures, 30), (Algorithms, 20), (Jupyter Notebook, 15)]"
"CSC 317","Introduction to Web Software Development","Introduction to topics in UNIX and creating web pages including reading and processing user input submitted through web pages, client side and server side programming, connecting a web page to a database, and building an e-commerce site or Internet Application.","[(JavaScript, 18), (HTML/CSS, 16), (Node.js, 16), (SQL, 14), (Client-Server Architecture, 14), (Git, 12), (Linux/Unix, 10)]"
"CSC 340","Programming Methodology","Advanced data structures and algorithms for manipulation in C++ with an emphasis on design and implementation, practical applications, and algorithms for sorting, searching, and graphs.","[(C++, 20), (Object-Oriented Programming, 18), (Algorithms, 16), (Problem Solving, 14), (Time Complexity Analysis, 12), (Unit Testing, 10), (Sorting and Searching, 10)]"
"CSC 408","Machine Learning and Data Science for Personalized Medicine","Exploration of the concepts and tools needed to analyze, interpret, and reason from genomic datasets to help medical professionals better treat their patients. Diseases often affect patients differently depending on their genetic background. To make personalized medicine a reality, it is necessary to leverage the data from genomic datasets. Genomic data science applies machine learning and data science to the genome to better diagnose and treat patients. [Formerly CSC 508]","[(Machine Learning, 35), (Data Science, 30), (Genomics, 20), (Biomedical Data Analysis, 15)]"
"CSC 411","Intermediate Machine Learning for Interdisciplinary Data Scientists","Intermediate machine learning concepts and tools. Focus on application development, linear model, deep neural network and transfer learning using Python, Tensorflow, and Keras. [Formerly CSC 308]","[(Machine Learning, 35), (Python, 20), (TensorFlow, 20), (Keras, 15), (Deep Learning, 10)]"
"CSC 412","Advanced Software Lab","Hands-on exercises in advanced programming, software development tools, and web technologies. Students are encouraged to bring their laptops. Activity. May be repeated for a total of 2 units. (Plus-minus letter grade only)","[(Advanced Programming, 35), (Software Development Tools, 35), (Web Technologies, 30)]"
"CSC 413","Software Development","Modern software applications. Object-oriented techniques: encapsulation, inheritance, and polymorphism as a mechanism for data design and problem solution. Software design, debugging, testing, and UI design. Software maintenance. Software development tools. Extra fee required. (Plus-minus letter grade only)","[(Object-Oriented Programming, 18), (Java, 16), (Design Patterns, 16), (Software Design, 14), (Testing and Debugging, 14), (UI Design, 12), (GitHub, 10)]"
"CSC 415","Operating System Principles","Operating system concepts: concurrent processes, basic synchronization techniques, deadlock, memory management, file systems, security, networks, and distributed processing. Extra fee required.","[(Operating Systems, 40), (Concurrency, 20), (Memory Management, 15), (File Systems, 10), (Distributed Systems, 15)]"
"CSC 509","Data Science and Machine Learning for Medical Image Analysis","Exploration of the application of state-of-the-art deep learning models to medical image analysis: the task of identifying objects such as tissue, bone within an image. Discussion of topics central to deep learning-based image analysis, and practical application of these concepts in three hands-on case studies.","[(Deep Learning, 35), (Computer Vision, 30), (Medical Imaging, 20), (Machine Learning, 15)]"
"CSC 510","Analysis of Algorithms I","Notions of main algorithm design methods. Measures of algorithm complexity in space and time. Algorithms of classic problems including sorting and scheduling and complexity analysis of such algorithms. (Plus/minus ABC/NC, CR/NC allowed)","[(Algorithms, 20), (Dynamic Programming, 16), (Divide and Conquer, 16), (Greedy Algorithms, 14), (Complexity Analysis, 14), (Backtracking, 10), (Correctness Proofs, 10)]"
"CSC 511","Protein Modeling with Deep Learning","Introduction to the use of machine learning (ML), deeplearning (DL), data science, and bioinformatics in protein biology. Explore real-world problems in in-silico protein engineering through hands-on projects and coding assignments. Apply ML/DL techniques to create models of various protein properties, and use these models to engineer and predict the properties of a novel protein. (Plus-minus letter grade only)","[(Deep Learning, 30), (Machine Learning, 20), (Bioinformatics, 25), (Protein Modeling, 25)]"
"CSC 520","Theory of Computing","Examination of automata, formal languages, and the notion of computability. Discussion of sequential machines as language acceptors and context-free and context-sensitive grammars. Exploration of recursive functions, universal Turing machines, and unsolvable problems.","[(Theory of Computation, 40), (Automata, 25), (Formal Languages, 20), (Turing Machines, 15)]"
"CSC 600","Programming Paradigms and Languages","Concepts for high-level programming languages. Procedural, logic, functional, and object-oriented programming paradigms. Comparative study of several languages and an introduction to grammars and parsing techniques. Extra fee required.","[(Programming Languages, 20), (Functional Programming, 16), (Logic Programming, 16), (Object-Oriented Programming, 14), (Procedural Programming, 14), (Language Syntax and Semantics, 10), (Program Performance, 10)]"
"CSC 601","Data Science and Machine Learning for Biotechnology Seminar Series","Featuring scientists in related areas from Genentech or other biotechnology industry or academia, explore a broad view of the topics on Drug design, modeling to predict drug performance, or new drug approval processes. (CR/NC grading only)","[(Data Science, 35), (Machine Learning, 35), (Biotechnology, 20), (Predictive Modeling, 10)]"
"CSC 602","Interview Preparation for Data Science and Machine Learning for Biotechnology Opportunities","Preparation for interviews for data science-related internships and full-time positions in industry. Emphasis on oral and written communication common in coding interviews for problem-solving. Development of interview skills such as how to communicate about technical aspects, describe a problem, and articulate issues. Practice of key problem-solving strategies specific to technical/coding interviews in Biotechnology. (CR/NC grading only)","[(Technical Interviewing, 40), (Problem Solving, 25), (Data Science, 20), (Machine Learning, 15)]"
"CSC 603","Generative AI: Fundamentals and Applications","Introduction to Generative AI, covering its fundamental concepts, models, and real-world applications. Explore key techniques for generating text, images, and multimodal content using state-of-the-art models such as transformers, GANs, and diffusion models. Focus on both theory and hands-on practice, including prompt engineering, API usage, and AI-powered application development. Gain experience building AI-driven applications such as chatbots, media generation tools, and productivity applications.","[(Generative AI, 30), (Transformers, 20), (GANs, 15), (Diffusion Models, 15), (Prompt Engineering, 10), (AI Application Development, 10)]"
"CSC 615","Embedded Linux Systems and Physical Computing","Exploration of embedded Linux programming in C, threads and synchronization, resource limits, working with sensors and motors, programming various communication protocols, and building a physical computing device. Extra fee required. (Plus-minus letter grade only)","[(Embedded Linux, 30), (C, 20), (Threads and Synchronization, 20), (Communication Protocols, 15), (Physical Computing, 15)]"
"CSC 620","Natural Language Technologies","Introduction to the fundamental concepts and techniques of Natural Language Processing (NLP). In-depth understanding of the computational properties of natural language and the commonly used algorithms for processing language data. Illustration of the pervasiveness of natural language technologies through real-world applications. Practical experience in NLP through hands-on exercises. Extra fee required. (Plus-minus letter grade only)","[(Natural Language Processing, 20), (Python, 16), (Text Processing, 16), (Language Modeling, 14), (Text Classification, 12), (Vector Semantics, 12), (Neural Language Models, 10)]"
"CSC 621","Biomedical Imaging and Analysis","Introduction to medical and biological imaging, imaging physics, 3D image formats, and visualization. Basic digital image processing and analysis, filtering, registration, segmentation, quantification, and performance evaluation. (Plus-minus letter grade only)","[(Biomedical Imaging, 18), (Image Processing, 18), (Image Segmentation, 16), (Image Registration, 14), (Image Filtering, 14), (Medical Image Analysis, 10), (Image Visualization, 10)]"
"CSC 630","Computer Graphics Systems Design","Graphics system design and GPU pipeline architecture and Generative AI on graphics. Overview of device-independent graphic systems such as OpenGL, 2- & 3-dimensional viewing pipelines, hidden line and surface removal algorithms, raster graphics techniques, and color space models. Topics on generative AI for graphics such as StyleGAN are covered. Course fee required. (Plus-minus letter grade only)","[(Computer Graphics, 20), (OpenGL, 16), (GPU Programming, 16), (3D Rendering, 14), (Shading, 12), (Linear Algebra, 12), (Animation, 10)]"
"CSC 631","Multiplayer Game Development","Computer graphics and network characteristics of multiplayer games. Design and development of a game as a team project.","[(Game Development, 18), (Unity, 18), (Network Programming, 16), (Client-Server Architecture, 14), (Computer Graphics, 12), (Software Engineering, 12), (Integration Testing, 10)]"
"CSC 641","Computer Performance Evaluation","Computer performance analysis problems related to system design, selection, and tuning. Modeling using stochastic and operational queuing models. Workload characterization, design, and performance measurement methods. Design of simulation models for computer systems. Extra fee required. (Plus-minus letter grade only)","[(Performance Modeling, 18), (Benchmarking, 16), (Queueing Theory, 16), (Simulation, 14), (Capacity Planning, 14), (Performance Tuning, 12), (Workload Analysis, 10)]"
"CSC 642","Human-Computer Interaction","The design, implementation, and evaluation of human-computer interfaces. Topics include interface devices, interface metaphors, interaction styles, user-centered design, testing, and quality assessment. Extra fee required.","[(Human-Computer Interaction, 18), (User Research, 16), (User-Centered Design, 16), (Prototyping, 14), (Usability Testing, 14), (Personas and User Stories, 12), (Design Evaluation, 10)]"
"CSC 645","Computer Networks","Computer network design, evaluation, and testing. Computer network standards and implementation. Hardware and software design and compatibility issues. Extra fee required.","[(Computer Networks, 18), (TCP/IP, 16), (Network Programming, 16), (Routing, 14), (Socket Programming, 14), (HTTP, 12), (Network Troubleshooting, 10)]"
"CSC 647","Introduction to Quantum Computing and Quantum Information Science","Introduction to quantum computing and quantum information science. Comparison of classical and quantum computing architectures and organization. Quantum algorithm design and implementation on circuit-based and annealing quantum platforms. Program execution and performance analysis on quantum platform simulators and actual quantum hardware, subject to availability. Survey of research topics in quantum computing ranging from algorithms (e.g., Grover's Search) and their application to problems in quantum cryptography, quantum machine learning, and hybrid classical/quantum algorithms.","[(Quantum Computing, 20), (Quantum Algorithms, 16), (Quantum Circuits, 16), (Qiskit, 14), (Quantum Information, 14), (Quantum Hardware, 10), (Hybrid Quantum-Classical Systems, 10)]"
"CSC 648","Software Engineering","Practical methods and tools for SW engineering including organizational teamwork.","[(Software Engineering, 18), (Agile Development, 16), (Requirements Analysis, 16), (Software Testing, 14), (Project Management, 14), (User-Centered Design, 12), (Cloud Deployment, 10)]"
"CSC 651","System Administration","User administration. Operating system installation, tuning, and control. Network administration. Security management. Performance tuning and management. Extra fee required. (ABC/NC grading only)","[(System Administration, 35), (Operating Systems, 20), (Network Administration, 20), (Security Management, 15), (Performance Tuning, 10)]"
"CSC 652","Introduction to Security and Data Privacy","Introduction to fundamental concepts in cybersecurity, cryptography, and data privacy. Practice different privacy mechanisms in databases and present applications to a wide range of data analysis tasks. Extra fee required.","[(Cybersecurity, 18), (Cryptography, 18), (Differential Privacy, 18), (Data Privacy, 16), (Privacy-Preserving Data Analysis, 16), (Security Algorithms, 14)]"
"CSC 653","Network Security","Introduction to the fundamental concepts of computer network security as well as standard security mechanisms and protocols.","[(Network Security, 50), (Security Protocols, 25), (Cybersecurity, 25)]"
"CSC 656","Computer Organization","Instruction set design. Pipelined datapath and control. Cache and memory system design. Input and output subsystems. Parallel processing. Software and hardware interactions. Extra fee required.","[(Computer Architecture, 18), (Instruction Set Design, 16), (Pipelining, 16), (Cache Design, 14), (Memory Systems, 14), (Parallel Processing, 12), (MIPS, 10)]"
"CSC 657","Bioinformatics Computing","A broad range of topics in computational biology as practiced in the life science industry and leading research organizations. Provides computational background required to participate in R&D. Extra fee required.","[(Bioinformatics, 40), (Computational Biology, 35), (Scientific Computing, 25)]"
"CSC 659","AI Explainability and Ethics","Overview of AI and GenAI technologies, their usage (including prompt engineering), and methods for their accuracy evaluations and optimization. Analysis of AI/GenAI limitations like hallucinations, bias, and errors. Overview of AI/GenAI explainability. Definitions, best practices and tools for auditing AI/GenAI for ethics and trustworthiness. Implementation of full AI pipeline and trustworthiness audit of selected AI application. (Plus-minus letter grade RP only)","[(Explainable AI, 18), (AI Ethics, 18), (Prompt Engineering, 16), (Model Evaluation, 16), (Trustworthy AI, 14), (Retrieval-Augmented Generation, 10), (Fine-Tuning, 8)]"
"CSC 664","Multimedia Systems","Comprehensive topics in multimedia such as basics of image and video processing, compression, multimedia databases, standard, synchronization, formats in the perspective of systems, and algorithms. Extra fee required. (Plus-minus letter grade only)","[(Multimedia Systems, 30), (Image and Video Processing, 25), (Compression, 20), (Multimedia Databases, 15), (Synchronization, 10)]"
"CSC 665","Artificial Intelligence","Overview of algorithms and approaches to artificial intelligence. Study of fundamental concepts needed to attain human-level intelligence in computer systems, and gain experience in working with these concepts through assignments and programming exercises. Topics include problem-solving methods, heuristic search, game playing, agent architectures, machine learning, and various topics selected from knowledge representation, symbolic reasoning, computational models of virtual humans, neural networks, and genetic algorithms. Extra fee required.","[(Artificial Intelligence, 20), (Search Algorithms, 16), (Knowledge Representation, 16), (Machine Learning, 14), (Game Playing, 12), (Intelligent Agents, 12), (Neural Networks, 10)]"
"CSC 667","Internet Application Design and Development","Fundamental technologies on which the World Wide Web is based. Extra fee required.","[(HTTP APIs, 18), (Node.js, 16), (JavaScript, 16), (HTML/CSS, 14), (PostgreSQL, 14), (Client-Server Architecture, 12), (Express, 10)]"
"CSC 668","Advanced Object Oriented Software Design and Development","Object-oriented analysis and design utilizing UML, design patterns, frameworks, and toolkits. Agile software design processes. Development of a mid-size programming project working in teams. Extra fee required. (Plus-minus letter grade only)","[(Object-Oriented Design, 30), (UML, 15), (Design Patterns, 20), (Frameworks, 15), (Agile Development, 20)]"
"CSC 671","Deep Learning","Exploration of the major technology trends that drive Deep Learning. Discussion of concepts and technologies to build, train, and apply fully connected deep neural networks. Focus on understanding the key parameters in a neural network's architecture and learning how Deep Learning actually works. (Plus-minus letter grade only)","[(Deep Learning, 20), (PyTorch, 16), (Neural Networks, 16), (Convolutional Neural Networks, 14), (Transformers, 14), (Recurrent Neural Networks, 10), (Model Training, 10)]"
"CSC 675","Introduction to Database Systems","Relational query languages. Semantic data models. Logical and physical database design. Privacy issues. Implementation techniques (catalogs, query optimization, concurrency control, security, and integrity enforcement). Extra fee required.","[(Databases, 35), (SQL / Relational Query Languages, 20), (Database Design, 20), (Query Optimization, 15), (Concurrency Control, 10)]"
"CSC 676","Soft Computing and Decision Support Systems","Development of software systems for decision support including applications of soft computing. Topics include fuzzy sets, fuzzy logic, fuzzy systems, fuzzy decision-making, fuzzy controllers, approximate reasoning, possibility theory, rough sets, graded evaluation logic, logic aggregation operators, information fusion models, decision engineering methods, computing with words, perceptual computing, granular computing, and the LSP method for evaluation and optimization of complex systems. (Plus-minus letter grade only)","[(Soft Computing, 18), (Fuzzy Logic, 18), (Decision Support Systems, 16), (Computational Intelligence, 16), (Approximate Reasoning, 12), (Information Fusion, 10), (Neural Networks, 10)]"
"CSC 680","Application Development for Mobile Devices","Introduction to, and comparison of, different popular mobile application frameworks. Conceptual and hands-on experience in writing mobile applications using native and cross-platform tools. (Plus-minus letter grade only)","[(Mobile Development, 45), (Native Mobile Frameworks, 25), (Cross-Platform Development, 30)]"
"CSC 685","Instructional Methods in Computer Science Teaching","Research-based pedagogical strategies and principles of teaching and learning in STEM. Seminar for students in their first Learning Assistant (LA) position or other interest in STEM teaching and learning.","[]"
"CSC 686","Experiences in Computer Science Teaching","Activity practicum for students who are Learning Assistants (LAs) in STEM courses. Under the supervision of a STEM course instructor, LAs participate in an active, inclusive learning community in a section of a STEM course. LAs meet with the course instructor to review upcoming activities. May be repeated for a total of 2 units.","[]"
"CSC 688","AI Entrepreneurship","Exploration of practical methods and tools for AI entrepreneurship. Knowledge and skills to integrate artificial intelligence into business ventures. Basics of AI technologies, market research, product-market fit development.","[(Artificial Intelligence, 30), (AI Product Development, 25), (Market Research, 20), (Product-Market Fit, 25)]"
"CSC 690","Interactive Multimedia Application Development","Basics of multimedia data formats and algorithms to build applications using non-standard interfaces such as game controllers and multi-touch surfaces. (Plus-minus letter grade only)","[(Multimedia Application Development, 35), (Interactive Systems, 25), (Multimedia Algorithms, 20), (Game Controllers / Touch Interfaces, 20)]"
"CSC 694","Cooperative Education: Computer Science","Projects in a business, government, or industrial position of at least one semester's duration. May be repeated for a total of 3 units. (This course is not eligible for certification for enrollment with the VA.)","[(Industry Software Development, 50), (Applied Computing, 50)]"
"CSC 697","Senior Project in Computer Science","Culminating experience in individual design, implementation, and professional documentation of a software product under the close supervision of a faculty member. (Plus-minus letter grade only)","[(Capstone Software Development, 40), (Software Design, 20), (Implementation, 20), (Technical Documentation, 20)]"
"CSC 698","Topics in Computing","Current topics in computer hardware and software technologies. Topics to be specified in the Class Schedule. May be repeated for a total of 9 units when topics vary. Topics include: Interactive Multimedia Development; Augmented Reality Software Systems; Research Topics in Computing Applications; Advanced Topics in Computing Applications; Applications of Parallel Computations; Real-Time Cross-Platform Application Development; Principles of Information Security and Privacy; Software Design, Development, and Pedagogy; Information Visualization: Tools and Techniques; Generative AI.","[(Special Topics in Computing, 100)]"
"CSC 699","Independent Study","Library and laboratory research and development projects. A final report must be approved by the instructor and filed with the department. May be repeated for a total of 9 units. (Plus-minus letter grade only)","[(Independent Research, 50), (Software / Systems Development, 50)]"
"CSC 720","Advanced Operating Systems","Analysis of scheduling and memory management algorithms and the use of concurrent languages for systems development and distributed systems. Design and implementation of major components of an operating system. Extra fee required.","[(Advanced Operating Systems, 40), (Scheduling Algorithms, 20), (Memory Management, 20), (Distributed Systems, 20)]"
"CSC 746","High-Performance Computing","Principles and current practices in high-performance computing. Basics of multiprocessor systems such as clusters and graphics processors. Message-passing and shared memory-based software development. Cloud computing.","[(High-Performance Computing, 18), (Parallel Programming, 16), (MPI, 16), (Shared Memory Programming, 14), (GPU Computing, 14), (Clusters, 12), (Cloud Computing, 10)]"
"CSC 747","Introduction to Quantum Computing and Quantum Information Science","Introduction to quantum computing and quantum information science. Comparison of classical and quantum computing architectures and organization. Quantum algorithm design and implementation on circuit-based and annealing quantum platforms. Program execution and performance analysis on quantum platform simulators and actual quantum hardware, subject to availability. Survey of research topics in quantum computing ranging from algorithms (e.g., Grover's Search) and their application to problems in quantum cryptography, quantum machine learning, and hybrid classical/quantum algorithms.","[(Quantum Computing, 20), (Quantum Algorithms, 16), (Quantum Circuits, 16), (Qiskit, 14), (Quantum Information, 14), (Quantum Hardware, 10), (Hybrid Quantum-Classical Systems, 10)]"
"CSC 775","Introduction to Database Systems","Relational query languages. Semantic data models. Logical and physical database design. Privacy issues. Implementation techniques (catalogs, query optimization, concurrency control, security, and integrity enforcement). Extra fee required.","[(Databases, 35), (SQL / Relational Query Languages, 20), (Database Design, 20), (Query Optimization, 15), (Concurrency Control, 10)]"
"CSC 780","Application Development for Mobile Devices","Introduction to, and comparison of, different popular mobile application frameworks. Conceptual and hands-on experience in writing mobile applications using native and cross-platform tools. (Plus-minus letter grade only)","[(Mobile Development, 45), (Native Mobile Frameworks, 25), (Cross-Platform Development, 30)]"
"CSC 803","Generative AI: Fundamentals and Applications","Introduction to Generative AI, covering its fundamental concepts, models, and real-world applications. Explore key techniques for generating text, images, and multimodal content using state-of-the-art models such as transformers, GANs, and diffusion models. Focus on both theory and hands-on practice, including prompt engineering, API usage, and AI-powered application development. Gain experience building AI-driven applications such as chatbots, media generation tools, and productivity applications.","[(Generative AI, 30), (Transformers, 20), (GANs, 15), (Diffusion Models, 15), (Prompt Engineering, 10), (AI Application Development, 10)]"
"CSC 805","Data Visualization: Concepts, Tools, Techniques, and Paradigms","Concepts, techniques, algorithms, and technologies for creating effective and efficient visual data representations and visual analytic tools based on principles from computer graphics, HCI, visual art, perceptual psychology, and cognitive science to enhance the understanding and communication of complex and multi-dimensional data. (Plus-minus letter grade only)","[(Data Visualization, 40), (Visual Analytics, 20), (Computer Graphics, 15), (HCI, 15), (Information Design, 10)]"
"CSC 810","Analysis of Algorithms II","Review major design strategies and theory of NP-Completeness. Approximation algorithms. Online Algorithms. Parallel and distributed algorithms. Algorithms for specific areas of interest. Extra fee required.","[(Advanced Algorithms, 20), (Graph Algorithms, 16), (NP-Completeness, 16), (Approximation Algorithms, 14), (Randomized Algorithms, 14), (Lower Bounds, 10), (Correctness Proofs, 10)]"
"CSC 820","Natural Language Technologies","Introduction to the fundamental concepts and techniques of Natural Language Processing (NLP). In-depth understanding of the computational properties of natural language and the commonly used algorithms for processing language data. Illustration of the pervasiveness of natural language technologies through real-world applications. Practical experience in NLP through hands-on exercises. Extra fee required. (Plus-minus letter grade only)","[(Natural Language Processing, 20), (Python, 16), (Text Processing, 16), (Language Modeling, 14), (Text Classification, 12), (Vector Semantics, 12), (Neural Language Models, 10)]"
"CSC 821","Biomedical Imaging and Analysis","Introduction to medical and biological imaging, imaging physics, 3D image formats, and visualization. Basic digital image processing and analysis, filtering, registration, segmentation, quantification, and performance evaluation. (Plus-minus letter grade only)","[(Biomedical Imaging, 18), (Image Processing, 18), (Image Segmentation, 16), (Image Registration, 14), (Image Filtering, 14), (Medical Image Analysis, 10), (Image Visualization, 10)]"
"CSC 825","Advanced Automata Theory","Advanced topics in theoretical computer science and their application to a broad range of areas including bioinformatics, compilers, data and image compression, natural language processing, networking, and web applications. Extra fee required. (Plus-minus letter grade only)","[(Automata Theory, 35), (Theoretical Computer Science, 25), (Compilers, 15), (Natural Language Processing, 10), (Compression, 15)]"
"CSC 830","Computer Graphics Systems Design","Graphics system design and GPU pipeline architecture and Generative AI on graphics. Overview of device-independent graphic systems such as OpenGL, 2- & 3-dimensional viewing pipelines, hidden line and surface removal algorithms, raster graphics techniques, and color space models. Topics on generative AI for graphics such as StyleGAN are covered. Course fee required. (Plus-minus letter grade only)","[(Computer Graphics, 20), (OpenGL, 16), (GPU Programming, 16), (3D Rendering, 14), (Shading, 12), (Linear Algebra, 12), (Animation, 10)]"
"CSC 831","Multiplayer Game Development","Computer graphics and network characteristics of multiplayer games. Design and development of a game as a team project.","[(Game Development, 18), (Unity, 18), (Network Programming, 16), (Client-Server Architecture, 14), (Computer Graphics, 12), (Software Engineering, 12), (Integration Testing, 10)]"
"CSC 841","Computer Performance Evaluation","Computer performance analysis problems related to system design, selection, and tuning. Modeling using stochastic and operational queuing models. Workload characterization, design, and performance measurement methods. Design of simulation models for computer systems. Extra fee required. (Plus-minus letter grade only)","[(Performance Modeling, 18), (Benchmarking, 16), (Queueing Theory, 16), (Simulation, 14), (Capacity Planning, 14), (Performance Tuning, 12), (Workload Analysis, 10)]"
"CSC 842","Human-Computer Interaction","The design, implementation, and evaluation of human-computer interfaces. Topics include interface devices, interface metaphors, interaction styles, user-centered design, testing, and quality assessment. Extra fee required.","[(Human-Computer Interaction, 18), (User Research, 16), (User-Centered Design, 16), (Prototyping, 14), (Usability Testing, 14), (Personas and User Stories, 12), (Design Evaluation, 10)]"
"CSC 845","Advanced Computer Networks","Design and implementation of networking protocols and technologies in wireless and mobile networks. Introduction to emerging design, algorithms, protocols, and applications in wireless and mobile networks. Extra fee required.","[(Advanced Computer Networks, 18), (Wireless Networks, 16), (Mobile Networks, 16), (Software-Defined Networking, 14), (Network Security, 14), (Multimedia Networking, 12), (Network Protocols, 10)]"
"CSC 847","Cloud and Distributed Computing: Concepts and Applications","Infrastructure, platform, and software as a service. Includes enabling techniques behind cloud computing including virtualization, multi-tenancy, and service-oriented architecture. Cloud storage options such as NoSQL databases, emerging technologies such as containers and Kubernetes, parallel and distributed computing platforms including MapReduce and Apache Sparc, and hands-on experience on public clouds such as the Amazon Cloud and Google Cloud. (Plus-minus letter grade only)","[(Cloud Computing, 30), (Distributed Computing, 20), (Containers / Kubernetes, 15), (NoSQL, 10), (MapReduce / Spark, 15), (Virtualization, 10)]"
"CSC 848","Software Engineering","Practical methods and tools for SW engineering including organizational teamwork.","[(Software Engineering, 18), (Agile Development, 16), (Requirements Analysis, 16), (Software Testing, 14), (Project Management, 14), (User-Centered Design, 12), (Cloud Deployment, 10)]"
"CSC 849","Search Engines","Fundamental concepts of text processing and information retrieval, including indexing, ranking, web search, and applications of search technology through research-oriented projects.","[(Search Engines, 20), (Information Retrieval, 18), (Text Processing, 16), (Indexing and Compression, 14), (Ranking Models, 12), (Web Search, 10), (Text Classification, 10)]"
"CSC 852","Introduction to Security and Data Privacy","Introduction to fundamental concepts in cybersecurity, cryptography, and data privacy. Practice different privacy mechanisms in databases and present applications to a wide range of data analysis tasks. Extra fee required.","[(Cybersecurity, 18), (Cryptography, 18), (Differential Privacy, 18), (Data Privacy, 16), (Privacy-Preserving Data Analysis, 16), (Security Algorithms, 14)]"
"CSC 853","Network Security","Introduction to the fundamental concepts of computer network security as well as standard security mechanisms and protocols.","[(Network Security, 50), (Security Protocols, 25), (Cybersecurity, 25)]"
"CSC 857","Bioinformatics Computing","A broad range of topics in computational biology as practiced in the life science industry and leading research organizations. Provides computational background required to participate in R&D. Extra fee required.","[(Bioinformatics, 40), (Computational Biology, 35), (Scientific Computing, 25)]"
